IP_address,Time_of_Day,Number_of_Packets,Protocol,Label
10.0.0.1,Afternoon,5,ICMP,1
10.0.0.1,Evening,14,TCP,0
172.16.0.1,Morning,22,UDP,1
172.16.0.1,Afternoon,12,ICMP,0
10.0.0.1,Afternoon,68,TCP,1
172.16.0.1,Morning,73,UDP,1
10.0.0.1,Afternoon,40,ICMP,0
172.16.0.1,Afternoon,85,UDP,1
192.168.1.1,Morning,81,UDP,1
10.0.0.1,Morning,39,TCP,1
172.16.0.1,Evening,25,TCP,0
192.168.1.1,Evening,81,UDP,0
10.0.0.1,Morning,77,UDP,0
192.168.1.1,Afternoon,34,TCP,1
192.168.1.1,Morning,83,UDP,0
172.16.0.1,Afternoon,44,ICMP,0
192.168.1.1,Afternoon,23,UDP,0
192.168.1.1,Afternoon,90,UDP,0
192.168.1.1,Morning,2,UDP,1
10.0.0.1,Morning,30,ICMP,1
192.168.1.1,Afternoon,16,ICMP,1
172.16.0.1,Afternoon,40,ICMP,1
172.16.0.1,Afternoon,39,UDP,0
172.16.0.1,Afternoon,17,UDP,0
192.168.1.1,Evening,59,TCP,0
192.168.1.1,Morning,37,UDP,1
192.168.1.1,Evening,4,UDP,0
10.0.0.1,Morning,8,UDP,0
10.0.0.1,Afternoon,27,UDP,0
10.0.0.1,Afternoon,6,TCP,0
